2020-08-16 19:26:57.9502||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:57.9551||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:57.9551||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:57.9551||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:57.9672||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:57.9672||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:58.6398||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:58.6398||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:58.6398||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:58.6580||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:58.6580||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:58.6580||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:59.3600||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:59.3734||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:59.3734||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:59.3734||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:59.3734||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:59.3927||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:27:04.9513||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:27:04.9624||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:27:04.9802||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:27:04.9913||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:27:04.9913||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:27:05.0011||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:29:27.1223||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:29:27.1340||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:29:27.1340||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:29:27.1411||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
